Gini Coefficient [-],Solar [GW],Onshore Wind [GW],Offshore Wind [GW],Hydrogen Storage (168h) [GW],Battery Storage (6h) [GW],Transmission Expansion [TWkm],Cost Penalty [%]
0.7461932296181857,427.263,151.877,463.427,126.788,46.724,560.3017961651326,0.5
0.7382518069889894,398.737,464.476,277.60699999999997,125.546,40.602,565.0534031597307,0.5
0.7688830299823324,277.991,337.971,384.317,125.508,38.006,578.1027145245321,0.5
0.7167763894375834,557.8,286.275,349.099,126.781,48.838,549.2613011062821,0.5
0.7425874242273338,490.866,176.748,422.182,130.53,49.563,560.1036803999422,0.5
0.7458472511078695,337.563,436.196,320.078,119.918,38.547,564.4789070825178,0.5
0.7295095385193455,443.979,449.536,268.193,130.502,41.402,564.0075913336626,0.5
0.7496392281839024,374.221,167.587,475.611,122.87,43.954,561.1903533407242,0.5
0.7514912593214115,384.926,346.375,346.08,150.491,14.374,561.692698513116,0.5
0.7419123368795866,440.511,276.344,378.83299999999997,110.097,76.715,564.7976614902909,0.5
0.7339202559816091,408.198,307.632,381.80899999999997,99.712,62.884,583.9246714530618,0.5
0.7537520075175645,415.14,326.133,344.23199999999997,156.862,21.567,543.094112544431,0.5
0.7349407871152509,366.198,353.347,365.3,113.468,34.59,587.7325966268895,0.5
0.7523110673634377,454.9,275.552,367.12199999999996,131.608,64.478,536.1649731956401,0.5
0.7303091701660116,452.028,296.431,373.219,136.175,43.321,491.1023017638766,0.5
0.7522798105465758,388.979,318.481,359.914,119.253,44.629,638.4462379948121,0.5
0.7390081057401308,426.668,107.128,496.465,127.789,45.345,559.4928946763287,1.0
0.7189809768486422,395.157,531.886,241.686,124.425,40.8,565.8170015795077,1.0
0.7737796622142348,226.446,343.598,399.105,125.546,35.392,582.5947200699674,1.0
0.7010669065863291,627.559,279.898,341.633,125.584,52.055,544.2452903837882,1.0
0.7421892567062911,541.647,154.592,419.94899999999996,134.696,52.458,562.6719091472808,1.0
0.7440697038134538,316.153,495.229,298.117,118.052,36.864,564.6968574170937,1.0
0.7184640021492621,454.981,512.973,229.275,129.727,42.589,566.8197527194076,1.0
0.7442705906210804,351.299,129.585,513.164,121.624,43.039,563.8909271518801,1.0
0.7523048063058699,373.75,347.335,348.688,162.518,0.007,566.0336905773739,1.0
0.7401546858790917,455.003,273.588,376.796,105.577,93.278,563.3743082125387,1.0
0.7331782428028826,404.428,326.043,380.159,91.111,66.457,594.0994044690077,1.0
0.7582840029335266,410.199,332.037,339.224,171.232,9.784,542.5922636232827,1.0
0.7354390515422768,337.053,380.205,365.57,108.439,30.588,595.7117058712302,1.0
0.7550946030854966,470.994,273.204,362.293,130.95,78.35,532.7774668210191,1.0
0.7222507939949842,466.134,288.722,381.373,139.796,42.37,467.4759769040459,1.0
0.7520664985572285,385.102,317.275,359.77700000000004,118.406,44.771,675.0262914379433,1.0
0.7339423211219949,424.083,54.215,540.8320000000001,129.377,45.249,560.9204875680255,2.0
0.7079651858109814,382.328,633.413,192.204,123.071,39.484,569.945980034795,2.0
0.7846416309569562,162.318,358.048,413.074,129.199,28.123,591.1693773328017,2.0
0.6857000659927739,730.246,275.633,327.31,128.649,53.883,534.8234111513824,2.0
0.7343687165582735,609.709,119.244,426.735,138.353,56.518,565.3156749183775,2.0
0.7128623286739652,285.931,583.965,265.978,116.445,33.358,563.1579243740414,2.0
0.7116051207700793,470.846,604.245,174.386,131.19,43.49,573.7144612558875,2.0
0.7416930758877991,311.072,82.458,566.316,121.238,41.851,567.0903807468973,2.0
0.72805347611663,396.355,347.031,351.247,161.493,0.0,579.9819191147836,2.0
0.7380783907765414,474.214,271.01,373.914,98.343,121.914,561.7025531556753,2.0
0.7247849691055188,417.558,340.401,375.498,80.282,82.504,606.4737383010103,2.0
0.7667446735917866,416.106,327.568,335.916,191.761,0.003,538.1124500986889,2.0
0.7416474005651406,303.111,425.512,362.10699999999997,102.796,24.887,605.605847547626,2.0
0.7598949088405283,491.147,266.225,358.709,129.546,103.295,528.2431819517462,2.0
0.7096501632184791,484.921,277.915,394.856,145.738,40.01,437.78481988715384,2.0
0.7498050602997715,384.125,317.066,359.59900000000005,117.277,45.185,736.2782212858422,2.0
0.7293213960442015,420.576,23.903,563.329,136.458,43.915,563.758703569227,3.0
0.7082004600539038,371.803,717.166,153.67,123.877,37.782,574.2479932270404,3.0
0.7929143447472078,115.77,367.331,425.41700000000003,133.919,21.45,597.1424900128444,3.0
0.6732298355551303,815.114,270.168,318.423,128.752,56.435,530.9427096390096,3.0
0.7312019185830219,675.334,107.765,417.651,142.591,61.736,565.9074364078747,3.0
0.7086585232344633,267.649,663.483,233.153,116.778,29.515,566.0355625991414,3.0
0.7048926110236016,481.384,679.355,131.115,134.79,43.345,578.8472442574429,3.0
0.7433522278873725,286.684,57.351,603.828,118.945,40.927,566.3699998815046,3.0
0.7113688891316206,396.961,360.599,351.874,160.378,0.0,590.146841736166,3.0
0.7383350909153324,488.313,265.766,373.551,93.055,147.209,558.9150647261064,3.0
0.7166627770878236,440.646,329.879,381.326,72.401,100.922,614.090822918327,3.0
0.7712644901245913,427.874,323.735,330.567,206.23,0.002,530.9491197097062,3.0
0.7432472334798185,285.697,445.005,369.373,98.877,21.274,610.1938951372923,3.0
0.7588987367627282,507.668,261.798,354.805,130.923,123.65,524.0521380551959,3.0
0.7004123423640796,504.193,281.253,397.253,151.276,39.022,418.42093151947097,3.0
0.7497376750037392,384.1,317.121,359.563,117.234,45.214,794.6851231573057,3.0
0.7351285398922334,418.188,2.499,578.088,144.751,42.33,565.7757404857357,4.0
0.7182459564249233,362.332,788.721,121.812,122.948,37.897,578.9410035880911,4.0
0.8011390230553916,78.81,370.939,437.793,138.823,16.242,602.5651966628983,4.0
0.6606027266412258,890.749,266.167,311.058,129.479,58.714,525.6583645033437,4.0
0.7285990653886072,732.786,96.674,412.95900000000006,144.323,66.404,568.2258386629369,4.0
0.7134956308106137,251.092,734.279,204.277,117.324,26.899,568.1686653037343,4.0
0.7084561613363788,499.467,738.998,95.357,136.924,45.208,584.027246973261,4.0
0.7367061482780308,269.47,43.141,632.916,117.642,39.448,565.1661957498318,4.0
0.7064179154211092,394.002,372.725,353.791,159.387,0.0,598.366270827588,4.0
0.7394671178603077,495.494,261.536,374.40200000000004,89.249,170.262,557.2987824053766,4.0
